LoanX ID,Mark Date,Bid,Offer,Depth,Evaluated Price,Close Bid,Close Offer,Close Date,Contributed
"LX172869","2020-08-25","38","43","1","40.5","38","43","2020-08-25","N"
"LX172870","2020-08-25","38","43","1","40.5","38","43","2020-08-25","N"
"LX172891","2020-08-25","94.54","96.206","implied","95.373","94.54","96.206","2020-08-25","N"
"LX172899","2020-08-25","0.05","0.15","1","0.1","0.05","0.15","2020-08-25","N"
"LX172904","2020-08-25","97","98","1","97.5","97","98","2020-08-25","N"
"LX172905","2020-08-25","93.873","94.873","implied","94.373","93.873","94.873","2020-08-25","N"
"LX172914","2020-08-25","58.859","63.141","8","61","58.859","63.141","2020-08-25","N"
"LX172942","2020-08-25","0.01","0.126","1","0.068","0.01","0.126","2020-08-25","N"
"LX172954","2020-08-25","92","93","1","","","","","N"
"LX172957","2020-08-25","79.458","81.125","6","80.2915","79.458","81.125","2020-08-25","N"
"LX172958","2020-08-25","75.371","77.038","implied","76.2045","75.371","77.038","2020-08-25","N"
"LX172960","2020-08-25","97","100","1","98.5","97","100","2020-08-25","N"
"LX172966","2020-08-25","86.958","89.708","3","88.333","86.958","89.708","2020-08-25","N"
"LX172968","2020-08-25","90.75","92.25","1","89.2","88.25","90.15","2020-08-25","N"
"LX172970","2020-08-25","82.8","86","5","84.4","82.8","86","2020-08-25","N"
"LX172971","2020-08-25","33.625","39.25","4","36.5625","33.875","39.25","2020-08-25","N"
"LX172972","2020-08-25","97","99","1","98","97","99","2020-08-25","N"
"LX172973","2020-08-25","97","99","1","98","97","99","2020-08-25","N"
"LX172974","2020-08-25","96.604","97.771","4","97.1875","96.604","97.771","2020-08-25","N"
"LX172975","2020-08-25","93.477","94.644","implied","94.0605","93.477","94.644","2020-08-25","N"
"LX172976","2020-08-25","96.5","98.5","1","97.5","96.5","98.5","2020-08-25","N"
"LX172977","2020-08-25","87.873","89.998","implied","92.123","90.873","93.373","2020-08-25","N"
"LX172978","2020-08-25","97","98","implied","97.5","97","98","2020-08-25","N"
"LX172979","2020-08-25","89.25","92.375","4","90.8125","89.25","92.375","2020-08-25","N"
"LX172980","2020-08-25","85.163","88.288","implied","86.7255","85.163","88.288","2020-08-25","N"
"LX173000","2020-08-25","85.504","87.5","5","86.502","85.504","87.5","2020-08-25","N"
"LX173001","2020-08-25","81.417","83.413","implied","82.415","81.417","83.413","2020-08-25","N"
"LX173002","2020-08-25","74.5","77.375","4","75.9375","74.5","77.375","2020-08-25","N"
"LX173003","2020-08-25","99.25","100.25","1","99.75","99.25","100.25","2020-08-25","N"
"LX173008","2020-08-25","94.229","94.96","implied","94.5945","94.229","94.96","2020-08-25","N"
"LX173027","2020-08-25","93.4","94.9","5","94.2","93.45","94.95","2020-08-25","N"
"LX173030","2020-08-25","80.792","83.604","6","82.198","80.792","83.604","2020-08-25","N"
"LX173031","2020-08-25","76.705","79.517","implied","78.111","76.705","79.517","2020-08-25","N"
"LX173032","2020-08-25","98.391","99.359","8","98.875","98.391","99.359","2020-08-25","N"
"LX173033","2020-08-25","98.325","99.175","5","98.75","98.325","99.175","2020-08-25","N"
"LX173034","2020-08-25","98.325","99.175","5","98.75","98.325","99.175","2020-08-25","N"
"LX173035","2020-08-25","74.75","79.75","2","77.25","74.75","79.75","2020-08-25","N"
"LX173036","2020-08-25","57.8","60.9","5","59.35","57.8","60.9","2020-08-25","N"
"LX173037","2020-08-25","57.05","60.15","implied","58.6","57.05","60.15","2020-08-25","N"
"LX173052","2020-08-25","99","100.5","1","99.75","99","100.5","2020-08-25","N"
"LX173053","2020-08-25","98.18","99.68","implied","98.93","98.18","99.68","2020-08-25","N"
"LX173059","2020-08-25","0.023","0.283","3","0.153","0.023","0.283","2020-08-25","N"
"LX173060","2020-08-25","24","26.286","7","25.143","24","26.286","2020-08-25","N"
"LX173063","2020-08-25","91.906","93.188","8","92.547","91.906","93.188","2020-08-25","N"
"LX173106","2020-08-25","39.25","41.25","4","40.25","39.25","41.25","2020-08-25","N"
"LX173107","2020-08-25","39.125","41.125","implied","40.125","39.125","41.125","2020-08-25","N"
"LX173109","2020-08-25","0.05","0.25","1","0.15","0.05","0.25","2020-08-25","N"
"LX173110","2020-08-25","58.5","62.5","2","60.5","58.5","62.5","2020-08-25","N"
"LX173111","2020-08-25","57.312","61.312","implied","59.312","57.312","61.312","2020-08-25","N"
"LX173122","2020-08-25","97","98","1","","","","","N"
"LX173140","2020-08-25","93","95","1","94","93","95","2020-08-25","N"
"LX173141","2020-08-25","93","95","1","94","93","95","2020-08-25","N"
"LX173142","2020-08-25","93","95","1","94","93","95","2020-08-25","N"
"LX173143","2020-08-25","98.78","99.855","implied","99.3175","98.78","99.855","2020-08-25","N"
"LX173150","2020-08-25","97.177","97.885","12","97.531","97.177","97.885","2020-08-25","N"
"LX173152","2020-08-25","87.5","90.5","1","89","87.5","90.5","2020-08-25","N"
"LX173154","2020-08-25","97.45","98.375","10","97.9125","97.45","98.375","2020-08-25","N"
"LX173155","2020-08-25","77.913","80.013","implied","78.963","77.913","80.013","2020-08-25","N"
"LX173156","2020-08-25","92.837","93.748","implied","93.2925","92.837","93.748","2020-08-25","N"
"LX173157","2020-08-25","97","98","1","97.5","97","98","2020-08-25","N"
"LX173158","2020-08-25","93.873","94.873","implied","94.373","93.873","94.873","2020-08-25","N"
"LX173163","2020-08-25","83.913","87.913","implied","85.913","83.913","87.913","2020-08-25","N"
"LX173164","2020-08-25","87.958","90.5","6","89.229","87.958","90.5","2020-08-25","N"
"LX173166","2020-08-25","83.871","86.413","implied","85.142","83.871","86.413","2020-08-25","N"
"LX173168","2020-08-25","1","5","1","3","1","5","2020-08-25","N"
"LX173182","2020-08-25","79.864","82.295","11","81.0795","79.864","82.295","2020-08-25","N"
"LX173183","2020-08-25","89.824","92.657","implied","91.2405","89.824","92.657","2020-08-25","N"
"LX173184","2020-08-25","96.333","99.333","3","97.833","96.333","99.333","2020-08-25","N"
"LX173185","2020-08-25","96.85","97.675","5","97.2375","96.8","97.675","2020-08-25","N"
"LX173186","2020-08-25","86","88.667","3","87.3335","86","88.667","2020-08-25","N"
